date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:41	29547/29547	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:14%20GMT	http://www.w3schools.com/xml/el_keyref.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_keyref.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:43	30622/30622	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:49:35%20GMT	http://www.w3schools.com/xml/el_list.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_list.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:44	30823/30823	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:15%20GMT	http://www.w3schools.com/xml/el_notation.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_notation.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:46	29403/29403	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:13%20GMT	http://www.w3schools.com/xml/el_key.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_key.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:52	30725/30725	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:16%20GMT	http://www.w3schools.com/xml/el_redefine.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_redefine.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:53	33424/33424	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:17%20GMT	http://www.w3schools.com/xml/el_restriction.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_restriction.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:55	29020/29020	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:02:41%20GMT	http://www.w3schools.com/xml/el_selector.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_selector.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:55	31538/31538	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:37:59%20GMT	http://www.w3schools.com/xml/el_sequence.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_sequence.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:57	32917/32917	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:18%20GMT	http://www.w3schools.com/xml/el_schema.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_schema.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:57	29839/29839	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:19%20GMT	http://www.w3schools.com/xml/el_simpleContent.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_simpleContent.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:58	29778/29778	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2007:23:58%20GMT	http://www.w3schools.com/xml/el_simpletype.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_simpletype.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:54:04	30044/30044	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:21%20GMT	http://www.w3schools.com/xml/el_union.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_union.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:54:06	29274/29274	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:21%20GMT	http://www.w3schools.com/xml/el_unique.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_unique.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:54:06	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.89f.delayed	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:54:06	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.8a0.delayed	(from http://www.w3schools.com/svg/svg_reference.asp)
12:54:06	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.8a1.delayed	(from http://www.w3schools.com/svg/svg_reference.asp)
12:54:06	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.8a2.delayed	(from http://www.w3schools.com/charsets/default.asp)
12:54:08	40614/40614	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:31:21%20GMT	http://www.w3schools.com/charsets/ref_utf_basic_latin.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/charsets/ref_utf_basic_latin.html	(from http://www.w3schools.com/charsets/default.asp)
12:54:09	40872/40872	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:23%20GMT	http://www.w3schools.com/charsets/ref_utf_latin1_supplement.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/charsets/ref_utf_latin1_supplement.html	(from http://www.w3schools.com/charsets/default.asp)
